run_id,assignment_id,assignment_title,created_at,status,error,model_name,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,failure_category,failure_subcategory,coder_notes
06cf43c2-a196-44af-9f83-619c034cda10,72aa6724-5023-413d-bb34-e5827ec36cde,Summarize the history of the internet in 3 bullet ...,14:40.9,completed,,qwen3.5:2b,143431,43734,873,44607,12,Create an execution plan for the conversation,1,Summarize the history of the internet in 3 bullet points.,9,fetch_page; web_search,0,12,positive,,,,
16c0a648-4410-4511-b18e-dabfdb14ea23,68796af2-d45b-45f6-8a96-1513fcf45bd1,What is the meaning of life?,12:36.5,completed,,qwen3.5:2b,30808,4979,228,5207,2,Create an execution plan for the conversation,1,What is the meaning of life?,0,,0,3,positive,,,,
d03a06a1-faee-4f3f-b701-939f75179f70,7b98bb00-ffc5-4a4e-b0ea-3a01577997b2,"Search for the speed of light in km/s, then calcul...",09:47.7,completed,,qwen3.5:2b,68659,16277,561,16838,5,Calculate the speed of light in km/s and the distance light travels in 10 minutes,2,"Search for the speed of light in km/s, then calculate howfar light travels in 10 minutes.",3,calculator; web_search,0,6,positive,,,,
2831a3f3-0d9d-416e-bfdb-643d78637ecb,1ae88404-10b5-4d6b-af6e-a6a60266685b,What is today’s date? Then tell me what date it wi...,00:47.5,completed,,qwen3.5:2b,38251,12368,297,12665,4,Get today's date and calculate the date 90 days from now,2,What is today’s date? Then tell me what date it will bein 90 days.,2,time_date,0,5,negative,Completely went the wrong way.,P,P-LP,
265ffb7e-ea1f-4ef0-93cb-ab4a8f01e6d5,0c2fab98-d187-4978-b513-9f6bb2eff254,"How long is the drive between Montreal, QC and New...",59:22.5,completed,,qwen3.5:2b,44038,12805,300,13105,4,Calculate the driving time between Montreal and New York City,2,"How long is the drive between Montreal, QC and NewYork City, NY?",2,http_request,0,5,negative,Didn't complete the plan properly.,P,P-LP,
b8f2acb7-4909-4516-85b9-9bd56ffccc79,c67d59f8-e199-4420-a9e7-23642a137857,How many days until Christmas?,57:33.1,completed,,qwen3.5:2b,37275,8549,343,8892,3,Calculate the number of days until Christmas,1,How many days until Christmas?,1,time_date,0,4,negative,"Logic wasn't bad, but didn't sum it up properly.",M,M-INC,
f9014d0a-5c83-467e-90d0-d26ee71affb1,40272717-e114-4421-8ad0-dff9a5979c87,"What day of the week will January 1st, 2027 fall o...",55:29.4,completed,,qwen3.5:2b,90361,19938,1132,21070,6,"Determine the day of the week for January 1st, 2027",1,"What day of the week will January 1st, 2027 fall on?",4,time_date; web_search,0,7,positive,,,,
b662e526-f0f2-4f7d-ab62-1a2b7cd0d38b,41377036-94e9-4ef0-a2c7-4d727a1b85fb,What time is it right now in London?,54:38.8,completed,,qwen3.5:2b,28233,8541,131,8672,3,Get current time in London,2,What time is it right now in London?,1,time_date,0,4,positive,,,,
32ed6017-edeb-4f76-9b4e-153c3afe8d4e,b174d302-50f1-481c-bb36-ff57f1ee2f35,What time is it in Tokyo?,53:37.3,completed,,qwen3.5:2b,30076,8567,170,8737,3,Create an execution plan for the conversation,1,What time is it in Tokyo?,1,time_date,0,4,positive,,,,
b67279de-e903-4e90-a404-1e22f5c668fc,88ea869c-1826-472d-8ea6-d0169b2e2f61,"If I invest $1,000 at 5% annual interest for 10 ye...",52:27.7,completed,,qwen3.5:2b,32437,8645,210,8855,3,Calculate final investment amount and create an execution plan,2,"If I invest $1,000 at 5% annual interest for 10 years, whatis the final amount?",1,calculator,0,4,positive,,,,
d2013a7a-afc9-4b0f-9f32-9f70bcd577a7,507c1bd1-9d67-4040-8b46-99e7dd7fa753,"What is the square root of 144, divided by 3?",50:48.2,completed,,qwen3.5:2b,30495,12091,287,12378,4,"Calculate the square root of 144, divide by 3, and create an execution plan",3,"What is the square root of 144, divided by 3?",2,calculator,0,5,negative,"Thing failed at the end to extract the real answer, which it had done properly.",T,T-PE,
25392e42-83f5-40b9-9aa6-7bec1d0fa1d9,5d52eae1-24c5-4142-a37f-37d77518a27b,What is 15% of 847?,49:45.8,completed,,qwen3.5:2b,27333,8450,108,8558,3,Calculate 15% of 847,1,What is 15% of 847?,1,calculator,0,4,positive,,,,
2dbee9a1-f403-446b-9cca-73d915be681a,481b2e3f-b154-4f00-8571-4ac81cdbffcc,"What is 2+2, then multiply that by 3.",48:59.9,completed,,qwen3.5:2b,18132,5097,68,5165,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,,,
2a0f5883-dce6-4222-bd7c-7eed4c41f3b9,481b2e3f-b154-4f00-8571-4ac81cdbffcc,"What is 2+2, then multiply that by 3.",48:26.3,completed,,qwen3.5:2b,27141,12081,212,12293,4,"Calculate 2+2, then multiply by 3",2,"What is 2+2, then multiply that by 3.",2,calculator,0,5,positive,,,,
9be91ac1-df37-4b1b-a473-f51fd4d0f8f2,165c1549-4ad6-4895-a63b-dce72abcc0a7,What is the current stock price of Apple?,46:16.9,completed,,qwen3.5:2b,106160,39686,650,40336,11,Retrieve the current stock price of Apple,1,What is the current stock price of Apple?,10,fetch_page; web_search,0,12,negative,Infinite loop using tools.,M,M-RP,
85338241-b221-4465-9f2c-5976a41092e0,8cc94fc6-e332-4e26-991d-558e554ecbf2,What is the population of Tokyo?,45:02.7,completed,,qwen3.5:2b,44366,12646,372,13018,4,Retrieve Tokyo population data,3,What is the population of Tokyo?,2,http_request,0,5,negative,Wrong tool used.,P,P-WT,
824ff586-a75b-4b47-87e3-3fb0179a9183,12dfa5ae-e2fa-421c-84e7-23fd5620ec4f,What is the capital city of Australia?,43:48.8,completed,,qwen3.5:2b,38880,8948,193,9141,3,Retrieve the capital city of Australia,3,What is the capital city of Australia?,1,web_search,0,4,positive,,,,
2136dcee-d8f5-47e8-b59e-3c591888c32c,b1a0b53d-37f0-402d-95fa-32463e913bb8,Who is the current Prime Minister of Canada?,42:13.6,completed,,qwen3.5:2b,72483,20346,524,20870,6,Identify the current Prime Minister of Canada,1,Who is the current Prime Minister of Canada?,4,memory_search; web_search,0,7,positive,,,,
c7613a8b-216c-4c5f-9ac5-94f9af72fb7a,3eba79c2-f691-4874-b772-eae6aa4db36e,Search for the weather in Paris.,40:23.3,completed,,qwen3.5:2b,48872,12882,452,13334,4,Create an execution plan for the conversation,2,Search for the weather in Paris.,2,http_request,0,5,positive,,,,
fa7247ac-eee8-44bc-909b-354e504588be,fc5c2870-a6d4-41eb-b34b-caeadc2dbd12,"Search for the speed of light in km/s, then calcul...",32:51.0,completed,,qwen3.5:2b,41233,15234,356,15590,5,Calculate the speed of light in km/s and the distance light travels in 10 minutes,2,"Search for the speed of light in km/s, then calculate howfar light travels in 10 minutes.",3,calculator,0,6,positive,,,,
4163a289-a93e-49c2-b6f4-bbf7fb893886,2b5bd47e-821d-4405-8d53-b276e9b51fc2,"How long is the drive between Montreal, QC and New...",16:59.6,completed,,qwen3.5:2b,117335,39594,779,40373,11,"Calculate the driving time between Montreal, QC and New York City, NY",3,"How long is the drive between Montreal, QC and NewYork City, NY?",10,fetch_page; http_request; json_query; web_search,0,12,negative,Went into an infinite loop.,M,M-RP,
d201fbed-a74f-4e40-9f3d-18bf113711d7,1dc2afa9-f2b9-4a56-9d33-918602ee0559,"If I invest $1,000 at 5% annual interest for 10 ye...",13:44.5,completed,,qwen3.5:2b,42117,8169,427,8596,3,Calculate final investment amount and create an execution plan,2,"If I invest $1,000 at 5% annual interest for 10 years, whatis the final amount?",1,calculator,0,4,positive,,,,
5f20b8b6-6d1d-48d4-a3ec-de72a1ada3f9,65b83938-bbe5-48d9-8d78-3b5b7a12dde2,What is the current stock price of Apple?,12:10.0,completed,,qwen3.5:2b,68759,26616,494,27110,8,Retrieve current stock price of Apple and create an execution plan,2,What is the current stock price of Apple?,6,echo; fetch_page; web_search,0,9,negative,Unable to extract the data from any searches it did.,T,T-PE,
7365115a-5efd-4778-aff9-2ffc16b01e39,5279da35-76cf-4210-a269-1d1a0f08af79,"What day of the week will January 1st, 2027 fall o...",11:15.4,completed,,qwen3.5:2b,38660,11911,331,12242,4,"Determine the day of the week for January 1st, 2027",1,"What day of the week will January 1st, 2027 fall on?",2,time_date,0,5,positive,,,,
