run_id,assignment_id,assignment_title,created_at,status,error,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,model_name,failure_category,failure_subcategory,coder_notes
2392db63-2593-4293-86a3-c4440a05890b,95a3d629-0669-4090-83a3-9ffbb7733cbc,What is the current stock price of Apple?,52:11.7,completed,,59169,19753,482,20235,6,Retrieve current stock price of Apple,1,What is the current stock price of Apple?,4,fetch_page; web_search,0,7,positive,,qwen3.5:2b,,,
85d97f56-c849-4963-a55b-f878615f2390,eac427ea-6145-418d-84e8-45a9cd52f89f,"Search for the speed of light in km/s, then calcul...",50:52.3,completed,,38566,8187,367,8554,3,Calculate the speed of light in km/s and the distance light travels in 10 minutes,2,"Search for the speed of light in km/s, then calculate how far light travels in 10 minutes.",1,calculator,0,4,positive,,qwen3.5:2b,,,
a175a087-8499-4fb3-b596-b1e71f7a62f1,fa302b67-eb58-4a2f-8a91-2f8b02c7cae6,What is today's date? Then tell me what date it wi...,49:39.2,completed,,27589,11671,227,11898,4,Get today's date and calculate the date 90 days from now,1,What is today's date? Then tell me what date it will be in 90 days.,2,time_date,0,5,positive,,qwen3.5:2b,,,
07735121-5535-40d2-b574-61922478e12a,33f7ee30-8800-4a4a-bdf9-1bb324581e07,What time is it right now in London?,48:59.6,completed,,26867,8083,123,8206,3,Get current time in London and create an execution plan,1,What time is it right now in London?,1,time_date,0,4,positive,,qwen3.5:2b,,,
516a1e97-fe0d-4c31-9c63-030fe9aec200,dfeed601-f6c9-4a56-8fee-68465d8805e9,How many days until Christmas?,47:34.4,completed,,28027,11533,256,11789,4,Calculate days until Christmas,1,How many days until Christmas?,2,time_date,0,5,positive,,qwen3.5:2b,,,
99f5a3c8-e33b-46bb-9357-dc54610ff09f,c67b51d4-94f4-4c39-953d-4d3bfff05c4b,"What day of the week will January 1st, 2027 fall o...",46:22.4,completed,,57094,18736,361,19097,6,"Determine the day of the week for January 1st, 2027",1,"What day of the week will January 1st, 2027 fall on?",4,time_date; web_search,0,7,positive,,qwen3.5:2b,,,
e93e4225-8d2e-4c11-b25f-28f4f2597b0c,9fa2ba3e-1d24-4d7a-980a-3c902cef1f80,What is the population of Tokyo?,44:45.4,completed,,35293,8227,275,8502,3,Retrieve Tokyo's population and create an execution plan,3,What is the population of Tokyo?,1,http_request,0,4,negative,Execution seems okay but it got the wrong number by using the wrong tool.,qwen3.5:2b,M,M-HL,
eb438ca8-5c68-4985-b8c3-952ad1ce271a,c7a37ca9-2b78-40b7-8d1e-be9ff05259ee,What is the capital city of Australia?,43:26.1,completed,,52939,4419,51,4470,2,Create an execution plan for the conversation,1,What is the capital city of Australia?,0,,0,3,positive,,qwen3.5:2b,,,
ba2493fc-114f-413a-b481-76a6b796c5dc,83376bdb-e6f1-4eed-acfa-0a636575588d,Who is the current Prime Minister of Canada?,42:22.4,completed,,44687,12301,383,12684,4,Identify the current Prime Minister of Canada,1,Who is the current Prime Minister of Canada?,2,time_date; web_search,0,5,positive,,qwen3.5:2b,,,
4c430afe-d64b-42fd-a4b3-9dd5e9bdb86b,e3748775-8651-46e4-b210-6bfd22a811e2,"If I invest $1,000 at 5% annual interest for 10 ye...",40:30.4,completed,,66494,38554,659,39213,11,Calculate final investment amount and create an execution plan,3,"If I invest $1,000 at 5% annual interest for 10 years, what is the final amount?",10,calculator,0,12,negative,"Planning went wrong, failing on Calculator tool many times and running out of steps.",qwen3.5:2b,M,M-RP,
5e0e3ec8-2216-4119-9147-7ffaf8825182,d7612717-d9ed-4afa-b486-b046cd05b827,"What is the square root of 144, divided by 3?",39:11.0,completed,,26677,11434,218,11652,4,"Calculate the square root of 144, divide by 3, and provide the result",2,"What is the square root of 144, divided by 3?",2,calculator,0,5,positive,,qwen3.5:2b,,,
dd45e7c3-a35a-46da-ba64-b20628c775fb,6289be15-4235-4b6c-b513-965a0e8b6d30,What is 15% of 847?,38:29.1,completed,,26285,7960,108,8068,3,Calculate 15% of 847,1,What is 15% of 847?,1,calculator,0,4,positive,,qwen3.5:2b,,,
