run_id,assignment_id,assignment_title,created_at,status,error,model_name,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,failure_category,failure_subcategory,coder_notes
53370596-9be4-48b4-ba50-663aacd98c60,5181f39b-0f13-4577-8ded-1f996ca1d386,"CLI 4/3/2026, 2:22:39 PM",48:54.8,completed,,qwen3.5:2b,75049,10320,707,11027,3,Create an execution plan for this conversation,1,Write me a Python function to sort a list.,1,write_file,0,4,positive,,,,
e95ce7dc-2533-4803-be5b-e79a42372b9c,5181f39b-0f13-4577-8ded-1f996ca1d386,"CLI 4/3/2026, 2:22:39 PM",47:34.0,completed,,qwen3.5:2b,54379,9963,533,10496,3,Create a Python function to sort a list,1,Write me a Python function to sort a list.,1,echo,0,4,negative,Produce the code but couldn't select the tool to write on disk.,P,P-WT,
a3a1d945-a592-4c86-bef1-25cc320a9aec,69773ce1-2922-4072-94a1-5a64e23bb11d,Summarize the history of the internet in 3 bullet ...,21:59.8,completed,,qwen3.5:2b,104552,19872,783,20655,6,Create an execution plan for the conversation,1,Summarize the history of the internet in 3 bullet points.,4,fetch_page; web_search,0,7,negative,"Asked under 3 bullet points, went much larger.  Not sure all of it is factual.",U,U-MI,
7bd0c2c8-9aeb-43fc-972d-7ff6546c59c5,ea3a8774-c8ce-4827-99e7-53b40928900c,What is the meaning of life?,21:06.7,completed,,qwen3.5:2b,33814,4905,281,5186,2,Create an execution plan for the conversation,1,What is the meaning of life?,0,,0,3,positive,,,,
5ac07cd4-270b-4d3a-b49f-c4c68dcfcc85,1a6a3574-bfa2-4dce-af61-c7da96f48b20,Tell me a fun fact.,19:18.7,completed,,qwen3.5:2b,34408,12405,183,12588,4,Generate a fun fact about Mark Carney,1,Tell me a fun fact.,2,memory_search; web_search,0,5,positive,,,,
d7818ff5-33fd-4874-ad44-c5b0e2c0d7ac,98874030-2c8b-4d05-bca6-ebedc1b82394,"Search for the speed of light in km/s, then calcul...",14:39.4,completed,,qwen3.5:2b,52764,12591,368,12959,4,Calculate the speed of light in km/s and the distance light travels in 10 minutes,2,"Search for the speed of light in km/s, then calculate howfar light travels in 10 minutes",2,web_search,0,5,positive,,,,
b3776690-ac5e-46f5-ab10-a3595b4341a6,8c61a8e8-6cb7-4491-8acf-c42e5e2e2f3c,What is today’s date? Then tell me what date it wi...,13:24.0,completed,,qwen3.5:2b,30755,8557,164,8721,3,Determine today's date and calculate the date 90 days from now,2,What is today’s date? Then tell me what date it will bein 90 days.,1,time_date,0,4,negative,Hallucinated the date from the right tool call with proper date.,M,M-HL,
492f2efa-add6-4cc1-89de-1329adae05e1,b86abcae-98df-4337-ab8e-db857ede69ba,"How long is the drive between Montreal, QC and New...",12:05.5,completed,,qwen3.5:2b,33540,12497,310,12807,4,Calculate the driving distance between Montreal and New York City,1,"How long is the drive between Montreal, QC and NewYork City, NY?",2,time_date; web_search,0,5,positive,,,,
beddb9dd-8f45-4e1b-827a-30211696b250,39532c97-7a49-4c3c-81d2-c371a035c426,How many days until Christmas?,11:01.5,completed,,qwen3.5:2b,35400,12203,245,12448,4,Calculate the number of days until Christmas,1,How many days until Christmas?,2,time_date,0,5,positive,,,,
e8671053-93f1-4eda-b339-2ee551c09d4a,52874c02-4b82-4ac5-a756-5f09e6367ffd,"What day of the week will January 1st, 2027 fall o...",08:32.9,completed,,qwen3.5:2b,78025,20840,956,21796,6,"Determine the day of the week for January 1st, 2027",1,"What day of the week will January 1st, 2027 fall on?",4,calculator; time_date,0,7,positive,,,,
9d0d9f3e-3b3b-4e0f-8cd5-78c7a3f5f25c,a52d18e9-9103-49be-9d41-f119f4aabf71,What time is it right now in London?,07:07.6,completed,,qwen3.5:2b,30863,12623,261,12884,4,Get current time in London,2,What time is it right now in London?,2,http_request,0,5,negative,Pick the wrong tool!  Meteo with http_request instead of time_date.,P,P-WT,
9f33843e-648b-4241-97ae-550d4cf2bf7c,175ba7f7-a7cb-4329-805e-ddc90faf4b0d,What time is it in Tokyo?,05:45.6,completed,,qwen3.5:2b,29443,8506,150,8656,3,Create an execution plan for the conversation,1,What time is it in Tokyo?,1,time_date,0,4,negative,Started off from the completely wrong time!,M,M-HL,
6a0ecb8f-0c35-4910-8785-16991383a43f,fd73f580-2d70-43da-9c5c-9bd04c28f6d5,"If I invest $1,000 at 5% annual interest for 10 ye...",04:50.5,completed,,qwen3.5:2b,26160,8606,208,8814,3,"Calculate the final amount after 10 years with $1,000 investment at 5% annual interest",1,"If I invest $1,000 at 5% annual interest for 10 years, whatis the final amount?",1,calculator,0,4,positive,,,,
b5d3407d-64f8-45ea-b346-19480834ac33,2505f8c5-c02b-4fe0-8098-f62caf98ab6d,"What is the square root of 144, divided by 3?",04:06.1,completed,,qwen3.5:2b,28353,12172,235,12407,4,"Calculate the square root of 144, divide by 3, and provide the result",3,"What is the square root of 144, divided by 3?",2,calculator,0,5,positive,,,,
